Model	Parameters	GFLOPs	Inference Time (ms)	Peak Memory (MB)
vit_small_g	21.67 M	8.52	14.86	36.00
vit_base_g	85.8 M	33.76	632.14	71.77
vit_large_g	303.18 M	158.2	104.53	122.34
vit_giant2_g	1134.75 M	447.12	273.14	139.89
vit_small	21.67 M	8.52	20.68	32.20
vit_base	85.8 M	33.76	25.50	65.31
vit_large	303.3 M	119.48	77.84	84.65
vit_giant2	1134.75 M	447.12	272.69	128.34
vit_small_g	21.67 M	8.52	17.38	35.09
vit_base_g	85.8 M	33.76	25.32	71.77
vit_large_g	303.18 M	158.2	102.77	122.34
vit_giant2_g	1134.75 M	447.12	275.43	139.89
vit_small	21.67 M	8.52	27.10	32.66
vit_base	85.8 M	33.76	31.49	65.31
vit_large	303.3 M	119.48	84.82	84.65
vit_giant2	1134.75 M	447.12	274.04	128.34
vit_small_g	21.67 M	8.52	8.52	35.67
vit_base_g	85.8 M	33.76	25.36	71.77
vit_large_g	303.18 M	158.2	101.32	122.34
vit_giant2_g	1134.75 M	447.12	277.76	140.34
vit_small	21.67 M	8.52	23.82	32.67
vit_base	85.8 M	33.76	27.38	65.31
vit_large	303.3 M	119.48	79.10	84.65
vit_giant2	1134.75 M	447.12	272.67	128.34
vit_small_g	21.67 M	8.52	20.73	35.67
vit_base_g	85.8 M	33.76	24.15	71.77
vit_large_g	303.18 M	158.2	104.78	122.34
vit_giant2_g	1134.75 M	447.12	273.06	139.89
vit_small	21.67 M	8.52	19.99	32.66
vit_base	85.8 M	33.76	26.94	65.31
vit_large	303.3 M	119.48	77.47	84.65
vit_giant2	1134.75 M	447.12	276.90	128.34
vit_small_g	21.67 M	8.52	16.18	35.09
vit_base_g	85.8 M	33.76	27.70	71.77
vit_large_g	303.18 M	158.2	104.12	122.34
vit_giant2_g	1134.75 M	447.12	274.74	139.89
vit_small	21.67 M	8.52	10.15	32.66
vit_base	85.8 M	33.76	24.40	65.31
vit_large	303.3 M	119.48	78.98	84.65
vit_giant2	1134.75 M	447.12	274.17	128.34
vit_small_g	21.67 M	8.52	9.10	35.09
vit_base_g	85.8 M	33.76	25.17	71.09
vit_large_g	303.18 M	158.2	105.59	122.34
vit_giant2_g	1134.75 M	447.12	275.22	139.89
vit_small	21.67 M	8.52	595.31	32.66
vit_base	85.8 M	33.76	31.68	65.31
vit_large	303.3 M	119.48	79.62	84.65
vit_giant2	1134.75 M	447.12	274.49	128.34
vit_small_g	21.67 M	8.52	8.78	35.54
vit_base_g	85.8 M	33.76	30.36	71.09
vit_large_g	303.18 M	158.2	105.30	122.34
vit_giant2_g	1134.75 M	447.12	282.33	139.89
vit_small	21.67 M	8.52	8.88	32.89
vit_base	85.8 M	33.76	24.09	65.31
vit_large	303.3 M	119.48	78.40	84.65
vit_giant2	1134.75 M	447.12	273.32	128.34
vit_small_g	21.67 M	8.52	9.02	36.00
vit_base_g	85.8 M	33.76	23.58	71.09
vit_large_g	303.18 M	158.2	105.70	122.34
vit_giant2_g	1134.75 M	447.12	272.54	140.34
vit_small	21.67 M	8.52	8.61	32.66
vit_base	85.8 M	33.76	24.01	65.31
vit_large	303.3 M	119.48	80.21	84.65
vit_giant2	1134.75 M	447.12	281.32	128.34
vit_small_g	21.67 M	8.52	9.30	35.67
vit_base_g	85.8 M	33.76	23.81	71.09
vit_large_g	303.18 M	158.2	105.24	122.34
vit_giant2_g	1134.75 M	447.12	281.00	139.89
vit_small	21.67 M	8.52	8.88	32.89
vit_base	85.8 M	33.76	23.87	65.31
vit_large	303.3 M	119.48	79.31	84.65
vit_giant2	1134.75 M	447.12	281.99	128.34
vit_small_g	21.67 M	8.52	8.61	36.00
vit_base_g	85.8 M	33.76	23.66	71.09
vit_large_g	303.18 M	158.2	106.56	122.34
vit_giant2_g	1134.75 M	447.12	271.62	140.34
vit_small	21.67 M	8.52	9.56	32.66
vit_base	85.8 M	33.76	23.73	65.31
vit_large	303.3 M	119.48	79.48	84.65
vit_giant2	1134.75 M	447.12	281.72	128.34
